,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
0,GJ Maxwell (AUS),2023-2023,7,7,2,397,201*,79.40,260,152.69,2,-,1,40,22
1,TM Head (AUS),2023-2023,4,4,0,130,109,32.50,90,144.44,1,-,1,13,7
2,H Klaasen (SA),2023-2023,9,9,1,326,109,40.75,232,140.51,1,1,-,24,17
3,MJ Santner (NZ),2023-2023,9,6,3,94,36*,31.33,71,132.39,-,-,-,6,5
4,MA Wood (ENG),2023-2023,7,7,4,85,43*,28.33,65,130.76,-,-,1,7,5
5,Mujeeb Ur Rahman (AFG),2023-2023,9,5,1,51,28,12.75,40,127.50,-,-,-,6,2
6,MS Chapman (NZ),2023-2023,7,5,1,82,39,20.50,66,124.24,-,-,-,10,1
7,JDS Neesham (NZ),2023-2023,3,2,0,58,58,29.00,47,123.40,-,1,1,3,3
8,Fakhar Zaman (PAK),2023-2023,4,4,1,220,126*,73.33,179,122.90,1,1,-,14,18
9,RG Sharma (IND),2023-2023,9,9,0,503,131,55.88,414,121.49,1,3,1,58,24
10,DA Miller (SA),2023-2023,9,9,2,255,53,36.42,214,119.15,-,1,-,17,15
11,Haris Rauf (PAK),2023-2023,9,5,2,53,35,17.66,45,117.77,-,-,-,5,4
12,DJ Willey (ENG),2023-2023,6,6,2,78,16*,19.50,67,116.41,-,-,-,7,6
13,SA Yadav (IND),2023-2023,5,5,1,87,49,21.75,75,116.00,-,-,-,11,1
14,RA Jadeja (IND),2023-2023,9,4,2,111,39*,55.50,96,115.62,-,-,-,7,3
15,Iftikhar Ahmed (PAK),2023-2023,9,8,2,142,40,23.66,123,115.44,-,-,-,11,8
16,AK Markram (SA),2023-2023,9,9,1,396,106,49.50,346,114.45,1,3,-,42,9
17,BKG Mendis (SL),2023-2023,9,9,0,294,122,32.66,258,113.95,1,1,-,27,15
18,Agha Salman (PAK),2023-2023,3,1,0,51,51,51.00,45,113.33,-,1,-,6,1
19,MP Stoinis (AUS),2023-2023,6,5,1,87,35,21.75,77,112.98,-,-,-,8,4
20,HC Brook (ENG),2023-2023,6,6,0,169,66,28.16,150,112.66,-,1,-,20,5
21,M Jansen (SA),2023-2023,8,7,3,157,75*,39.25,141,111.34,-,1,-,9,9
22,DJ Mitchell (NZ),2023-2023,9,8,1,418,130,59.71,378,110.58,1,2,-,39,15
23,JP Inglis (AUS),2023-2023,8,7,0,131,58,18.71,119,110.08,-,1,1,14,3
24,GD Phillips (NZ),2023-2023,9,8,2,244,71,40.66,222,109.90,-,2,-,18,12
